inst_id,type,name,department,address,city,state,zip
1,Industry,Yanfeng Automotive Interiors,Engineering,NULL,Frenchtown,Michigan,NULL
2,Academia,Michigan State University,Engineering,NULL,East Lansing,Michigan,NULL
