inst_id,type,name,department,address,city,state,zip
1,'Industry','Vertafore Inc','Development',NULL,'East Lansing', 'Michigan', NULL
2,'Industry','Yanfeng Automotive Interiors','Engineering',NULL,'Frenchtown','Michigan',NULL
